MINYAK (mPa.s),JUMLAH MINYAK (g),SURFAKTAN (HLB),JUMLAH SURFAKTAN (g),FASA AIR (V),JUMLAH FASA AIR (g),Ko-Surfaktan (Rasio),FASA
10.0,8.05,16.3,2.065,0.0,0.7,1.1013333333333333,1
10.0,8.05,16.3,1.875,0.0,0.6,1.0,1
10.0,8.05,16.3,1.875,0.0,0.8,1.0,1
10.0,8.05,16.3,1.875,0.0,0.7,0.9375,1
10.0,8.05,16.3,3.75,0.0,0.7,0.0,1
54.0,8.05,6.5,1.875,-0.44,0.7,1.0,1
54.0,7.25,6.5,1.875,-0.44,0.7,1.0,1
54.0,8.85,6.5,1.875,-0.44,0.7,1.0,1
54.0,8.05,6.5,1.625,-0.44,0.7,0.8666666666666667,1
54.0,8.05,6.5,2.065,-0.44,0.7,1.1013333333333333,1
54.0,8.05,6.5,1.875,-0.44,0.6,1.0,1
54.0,8.05,6.5,1.875,-0.44,0.8,1.0,1
54.0,8.05,6.5,1.875,-0.44,0.7,0.9375,1
54.0,8.05,6.5,1.875,-0.25,0.7,1.0,1
54.0,7.25,6.5,1.875,-0.25,0.7,1.0,1
54.0,8.85,6.5,1.875,-0.25,0.7,1.0,1
54.0,8.05,6.5,1.625,-0.25,0.7,0.8666666666666667,1
54.0,8.05,6.5,2.065,-0.25,0.7,1.1013333333333333,1
54.0,8.05,6.5,1.875,-0.25,0.6,1.0,1
54.0,8.05,6.5,1.875,-0.25,0.8,1.0,1
54.0,8.05,6.5,1.875,-0.25,0.7,0.9375,1
10.0,8.05,13.4,1.875,0.0,0.7,1.0,2
10.0,7.25,13.4,1.875,0.0,0.7,1.0,2
10.0,8.85,13.4,1.875,0.0,0.7,1.0,2
10.0,8.05,13.4,1.625,0.0,0.7,0.8666666666666667,2
10.0,8.05,13.4,2.065,0.0,0.7,1.1013333333333333,2
10.0,8.05,13.4,1.875,0.0,0.6,1.0,2
54.0,8.05,16.3,1.875,0.0,0.7,1.0,2
54.0,7.25,16.3,1.875,0.0,0.7,1.0,2
54.0,8.85,16.3,1.875,0.0,0.7,1.0,2
54.0,8.05,16.3,1.625,0.0,0.7,0.8666666666666667,2
54.0,8.05,6.5,3.75,-0.44,0.7,0.0,2
54.0,8.05,6.5,3.75,-0.25,0.7,0.0,2
10.0,8.05,6.5,1.875,-0.44,0.7,1.0,1
10.0,7.25,6.5,1.875,-0.44,0.7,1.0,1
10.0,8.85,6.5,1.875,-0.44,0.7,1.0,1
10.0,8.05,6.5,1.625,-0.44,0.7,0.8666666666666667,1
10.0,8.05,6.5,2.065,-0.44,0.7,1.1013333333333333,1
10.0,8.05,6.5,1.875,-0.44,0.6,1.0,1
10.0,8.05,6.5,1.875,-0.44,0.8,1.0,1
10.0,8.05,6.5,1.875,-0.44,0.7,0.9375,1
10.0,8.05,6.5,3.75,-0.44,0.7,0.0,1
10.0,8.05,6.5,1.875,-0.25,0.7,1.0,1
10.0,7.25,6.5,1.875,-0.25,0.7,1.0,1
10.0,8.85,6.5,1.875,-0.25,0.7,1.0,1
10.0,8.05,6.5,1.625,-0.25,0.7,0.8666666666666667,1
10.0,8.05,6.5,2.065,-0.25,0.7,1.1013333333333333,1
10.0,8.05,6.5,1.875,-0.25,0.6,1.0,1
10.0,8.05,6.5,1.875,-0.25,0.8,1.0,1
10.0,8.05,6.5,1.875,-0.25,0.7,0.9375,1
10.0,8.05,6.5,3.75,-0.25,0.7,0.0,2
54.0,8.85,15.0,2.759,0.0,0.8,1.224,3
54.0,8.85,15.0,2.7593,0.0,0.8,1.2241,3
54.0,8.85,13.0,1.8127,0.0,0.8,1.5956,3
54.0,8.05,6.5,1.625,0.0,0.7,1.0,3
10.0,7.25,6.5,1.625,0.0,0.6,1.0,3
10.0,8.85,14.0,1.6938,0.423,0.8,1.1481,3
10.0,7.25,15.0,1.64,0.423,0.6,1.2574,3
54.0,7.25,15.0,1.625,0.423,0.8,1.5369,3
54.0,7.25,14.0,1.625,0.0,0.799,1.664,3
10.0,8.05,13.0,2.6406,0.456,0.8,1.0,3
10.0,7.25,4.3,1.625,0.456,0.6,2.0,3
10.0,7.25,6.5,3.75,0.456,0.8,2.0,3
10.0,8.85,14.0,1.625,0.456,0.6,1.1057,3
54.0,8.85,14.0,2.6875,0.456,0.7,0.6997,3
54.0,7.25,14.0,1.625,-0.44,0.799,1.7392,3
10.0,7.25,6.5,1.633,-0.44,0.6,1.2852,3
10.0,8.6561,14.0,1.6296,-0.44,0.7998,1.6721,3
10.0,8.85,15.0,2.997,-0.44,0.7023,1.4516,3
54.0,8.85,15.0,1.625,-0.44,0.799,1.7543,3
54.0,8.85,6.5,1.7157,-0.44,0.8,1.4516,3
54.0,7.25,13.0,3.6406,-0.44,0.6,1.0,3
10.0,8.85,13.0,1.629,-0.44,0.799,1.6479,3
10.0,7.25,6.5,1.635,-0.25,0.6,1.092,3
54.0,8.05,6.5,2.687,-0.25,0.8,0.912,3
10.0,8.85,15.0,2.905,-0.25,0.605,1.468,3
54.0,7.25,15.0,3.291,-0.25,0.777,0.894,3
10.0,8.85,13.0,1.631,-0.25,0.799,1.596,3
54.0,8.85,13.0,1.625,-0.25,0.799,1.691,3
10.0,8.85,16.3,2.873,-0.25,0.8,1.408,3
54.0,7.25,16.3,1.625,-0.25,0.799,1.754,3
